Identifiant station;Nom station;Station en fonctionnement;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Borne de paiement disponible;Retour vélib possible;Actualisation de la donnée;Coordonnées géographiques;Nom communes équipées;Code INSEE communes équipées
;;OUI;;17;8;;;OUI;OUI;2025-01-09T20:43:46+01:00;;;
;;OUI;;27;25;;;OUI;OUI;2025-01-09T20:46:41+01:00;;;
;;OUI;;9;31;;;OUI;OUI;2025-01-09T20:45:16+01:00;;;
;;OUI;;14;15;;;OUI;OUI;2025-01-09T20:44:33+01:00;;;
;;OUI;;26;12;;;OUI;OUI;2025-01-09T20:44:15+01:00;;;
;;OUI;;17;16;;;OUI;OUI;2025-01-09T20:45:55+01:00;;;
;;OUI;;13;13;;;OUI;OUI;2025-01-09T20:47:50+01:00;;;
;;OUI;;13;15;;;OUI;OUI;2025-01-09T20:47:05+01:00;;;
;;OUI;;0;34;;;OUI;OUI;2025-01-09T20:48:05+01:00;;;
;;OUI;;16;18;;;OUI;OUI;2025-01-09T20:43:31+01:00;;;
;;OUI;;4;34;;;OUI;OUI;2025-01-09T20:47:59+01:00;;;
;;OUI;;13;9;;;OUI;OUI;2025-01-09T20:44:38+01:00;;;
;;OUI;;7;22;;;OUI;OUI;2025-01-09T20:40:54+01:00;;;
;;OUI;;22;10;;;OUI;OUI;2025-01-09T20:43:31+01:00;;;
;;OUI;;28;8;;;OUI;OUI;2025-01-09T20:46:14+01:00;;;
;;OUI;;15;7;;;OUI;OUI;2025-01-09T20:48:15+01:00;;;
;;OUI;;0;18;;;OUI;OUI;2025-01-09T20:46:14+01:00;;;
;;OUI;;28;5;;;OUI;OUI;2025-01-09T20:45:33+01:00;;;
;;OUI;;2;28;;;OUI;OUI;2025-01-09T20:48:23+01:00;;;
;;OUI;;50;17;;;OUI;OUI;2025-01-09T20:47:01+01:00;;;
;;OUI;;31;14;;;OUI;OUI;2025-01-09T20:46:22+01:00;;;
;;OUI;;30;5;;;OUI;OUI;2025-01-09T20:42:23+01:00;;;
;;OUI;;8;15;;;OUI;OUI;2025-01-09T20:48:18+01:00;;;
;;OUI;;43;5;;;OUI;OUI;2025-01-09T20:48:20+01:00;;;
;;OUI;;13;18;;;OUI;OUI;2025-01-09T20:42:28+01:00;;;
;;OUI;;15;4;;;OUI;OUI;2025-01-09T20:47:11+01:00;;;
;;OUI;;3;55;;;OUI;OUI;2025-01-09T20:48:05+01:00;;;
;;OUI;;14;12;;;OUI;OUI;2025-01-09T20:44:40+01:00;;;
